lenguaje,n,algoritmo,escenario,repeticion,clave,posicion_origen,posicion,comparaciones,tiempo_ns
Python,10000,lineal,centro,21,15825,5000,5000,5001,211575
Python,10000,lineal,final,6,15100,9999,9999,10000,390571
Python,10000,binaria,centro,20,15825,5000,6022,14,1953
Python,10000,lineal,ausente,24,18288,-1,-1,10000,403831
Python,10000,lineal,ausente,21,18288,-1,-1,10000,390231
Python,10000,lineal,centro,16,15825,5000,5000,5001,193608
Python,10000,lineal,ausente,19,18288,-1,-1,10000,400706
Python,10000,binaria,centro,3,15825,5000,6022,14,1883
Python,10000,binaria,ausente,29,18288,-1,-1,14,1733
Python,10000,binaria,centro,16,15825,5000,6022,14,1472
Python,10000,lineal,inicio,8,14101,0,0,1,331
Python,10000,binaria,inicio,28,14101,0,2844,14,1873
Python,10000,lineal,final,18,15100,9999,9999,10000,389640
